update_date,franchise,title,experience,season,update_title,date_source_type,source_page_title,source_url,source_file,retrieved_at
2025-10-03,Call of Duty,Black Ops 7,,Beta,October 3,anchor,Call of Duty: Black Ops 7 Beta Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-7-beta-patch-notes,call-of-duty-black-ops-7-beta-patch-notes-4b109d80bc.html,2026-09-18T00:27:48.164464+00:00
2025-10-04,Call of Duty,Black Ops 7,,Beta,October 4,anchor,Call of Duty: Black Ops 7 Beta Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-7-beta-patch-notes,call-of-duty-black-ops-7-beta-patch-notes-4b109d80bc.html,2026-09-18T00:27:48.164464+00:00
2025-10-05,Call of Duty,Black Ops 7,,Beta,October 5,anchor,Call of Duty: Black Ops 7 Beta Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-7-beta-patch-notes,call-of-duty-black-ops-7-beta-patch-notes-4b109d80bc.html,2026-09-18T00:27:48.164464+00:00
2025-10-06,Call of Duty,Black Ops 7,,Beta,October 6,anchor,Call of Duty: Black Ops 7 Beta Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-7-beta-patch-notes,call-of-duty-black-ops-7-beta-patch-notes-4b109d80bc.html,2026-09-18T00:27:48.164464+00:00
2025-10-07,Call of Duty,Black Ops 7,,Beta,October 7,anchor,Call of Duty: Black Ops 7 Beta Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-7-beta-patch-notes,call-of-duty-black-ops-7-beta-patch-notes-4b109d80bc.html,2026-09-18T00:27:48.164464+00:00
2025-10-08,Call of Duty,Black Ops 6,,Season 06,"October 08, 2025",dateline;anchor,Call of Duty: Black Ops 6 Season 06 Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-6-season-06-patch-notes,call-of-duty-black-ops-6-season-06-patch-notes-3dc9188c40.html,2026-09-18T00:27:47.074136+00:00
2025-10-08,Call of Duty,Black Ops 7,,Beta,October 8,anchor,Call of Duty: Black Ops 7 Beta Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-7-beta-patch-notes,call-of-duty-black-ops-7-beta-patch-notes-4b109d80bc.html,2026-09-18T00:27:48.164464+00:00
2025-10-08,Call of Duty,,Warzone,Season 06,WEDNESDAY OCTOBER 8,heading;dateline,Call of Duty: Warzone Patch Season 06 Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-bo6-warzone-season-06-patch-notes,call-of-duty-bo6-warzone-season-06-patch-notes-3621e9d856.html,2026-09-18T00:27:49.295404+00:00
2025-10-09,Call of Duty,Black Ops 7,,Beta,"October 09, 2025",dateline;anchor,Call of Duty: Black Ops 7 Beta Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-7-beta-patch-notes,call-of-duty-black-ops-7-beta-patch-notes-4b109d80bc.html,2026-09-18T00:27:48.164464+00:00
2025-10-15,Call of Duty,Black Ops 6,,Season 06,October 15,anchor,Call of Duty: Black Ops 6 Season 06 Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-black-ops-6-season-06-patch-notes,call-of-duty-black-ops-6-season-06-patch-notes-3dc9188c40.html,2026-09-18T00:27:47.074136+00:00
2025-10-21,Call of Duty,,Warzone,Season 06,TUESDAY OCTOBER 21,heading,Call of Duty: Warzone Patch Season 06 Patch Notes,https://www.callofduty.com/patchnotes/2025/10/call-of-duty-bo6-warzone-season-06-patch-notes,call-of-duty-bo6-warzone-season-06-patch-notes-3621e9d856.html,2026-09-18T00:27:49.295404+00:00
2025-11-14,Call of Duty,Black Ops 7,,Preseason,November 14,anchor,Call of Duty: Black Ops 7 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2025/11/call-of-duty-black-ops-7-preseason-patch-notes,call-of-duty-black-ops-7-preseason-patch-notes-142d7fa736.html,2026-09-18T00:27:50.458542+00:00
2025-11-16,Call of Duty,Black Ops 7,,Preseason,November 16,anchor,Call of Duty: Black Ops 7 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2025/11/call-of-duty-black-ops-7-preseason-patch-notes,call-of-duty-black-ops-7-preseason-patch-notes-142d7fa736.html,2026-09-18T00:27:50.458542+00:00
2025-11-18,Call of Duty,Black Ops 7,,Preseason,November 18,anchor,Call of Duty: Black Ops 7 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2025/11/call-of-duty-black-ops-7-preseason-patch-notes,call-of-duty-black-ops-7-preseason-patch-notes-142d7fa736.html,2026-09-18T00:27:50.458542+00:00
2025-11-19,Call of Duty,Black Ops 7,,Preseason,November 19,anchor,Call of Duty: Black Ops 7 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2025/11/call-of-duty-black-ops-7-preseason-patch-notes,call-of-duty-black-ops-7-preseason-patch-notes-142d7fa736.html,2026-09-18T00:27:50.458542+00:00
2025-11-21,Call of Duty,Black Ops 7,,Preseason,November 21,anchor,Call of Duty: Black Ops 7 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2025/11/call-of-duty-black-ops-7-preseason-patch-notes,call-of-duty-black-ops-7-preseason-patch-notes-142d7fa736.html,2026-09-18T00:27:50.458542+00:00
